# Step CPU_Time_s
         1       0.004040
     10000      26.948744
     20000      55.896334
     30000      84.606803
     40000     112.981721
     50000     141.631510
     60000     170.179425
     70000     199.332068
     80000     227.860264
     90000     256.690497
    100000     285.404547
    110000     314.406115
    120000     343.118800
    130000     371.451479
    140000     399.857965
    150000     428.433142
    160000     457.152219
    170000     485.546903
    180000     514.533558
    190000     543.331050
    200000     572.320977
