# Step Torsion_Angles(rad)...
         1    2.2358    1.1027    1.5564    0.6857    2.0528    1.4552    1.8770    0.2400    1.9210    1.8232    1.9900    0.8912    0.9073    2.0030    1.8965    2.5481    0.8467    1.9872    1.8939    2.0261    0.2430    1.7468    1.9867    1.4086    0.7233    1.2505    2.0854    1.0706    1.3752    0.8612    2.1084    1.1940    1.6473    0.5633    2.0090    1.5957    1.9681    0.1065    1.8755    1.9070    1.9573    2.6518    0.9014    2.0194    1.8819    2.4035    0.7001    1.9346    1.9183    1.8049    0.0696    1.6002    2.0243    1.2500    1.0110    1.0850    2.1057    1.0590    1.4810    0.7746    2.0864    1.3212    1.7604    0.4033    1.9628    1.7225    2.0012    0.0733    1.7924    1.9672    1.9221    2.6436    0.9260    2.0137    1.8816    2.2227    0.4927    1.8533    1.9514    1.5900    0.4096    1.4246    2.0585    1.1339    1.2301    0.9551    2.1143    1.1050    1.5637    0.6797    2.0505    1.4633    1.8834    0.2308    1.9185    1.8285    2.4520
     10000    2.3601    1.6759    0.9615    0.1176    1.2765    0.9686    1.6749    1.3490    1.1036    0.8180    1.9893    0.9658    1.5985    0.0318    2.6238    1.1656    0.7324    0.0582    2.1819    2.6529    0.7721    0.6992    1.3927    1.9598    1.5997    2.9218    1.3285    1.9190    0.5178    2.2248    1.8330    3.1323    1.5711    2.1636    1.0336    0.3812    2.4803    0.9133    2.4821    1.3585    2.9452    1.6486    2.5552    0.8077    1.4413    2.0640    3.0184    0.0924    2.6333    0.1422    2.4269    1.0474    2.6659    3.0147    0.1720    2.4319    1.7410    0.8813    2.8313    0.6920    2.4761    1.0497    1.6124    1.1738    2.0206    1.3270    1.4000    1.7109    1.1548    0.8479    1.9938    0.5647    1.9280    0.9451    1.7087    1.1865    1.5988    0.1163    2.3786    0.0089    2.9703    2.6691    1.2472    1.5964    2.9360    1.9397    0.7000    1.9519    0.5387    2.3978    0.3331    1.3564    2.0636    1.3722    2.7108    1.9433    1.7776
     20000    1.9861    0.8907    2.0437    1.1036    2.1420    0.9530    3.0517    2.0967    2.5608    1.4239    1.9785    1.8716    2.8324    0.6296    2.9945    0.9980    2.6409    1.9115    1.4252    1.6079    0.0721    1.4351    1.4447    0.5125    2.8793    0.5771    2.7414    1.7158    2.1400    1.0172    2.5437    1.2976    2.1108    0.4113    2.3653    0.5141    1.6331    0.8882    1.5903    2.8632    1.7865    2.7537    1.0822    0.9310    2.1979    1.5363    2.4863    1.0435    2.7529    2.3807    0.0083    1.4976    1.1922    3.0925    3.0966    2.1768    2.3459    2.2638    2.7878    0.2899    1.9240    2.3621    2.9085    2.7414    2.6808    0.9869    2.9133    1.5049    0.1477    1.1899    0.4823    1.3507    0.4317    1.0755    0.1465    1.9317    1.7865    0.8115    2.3921    2.6458    2.3288    0.0992    2.0075    0.6819    2.6600    1.0682    2.9982    2.7052    0.4446    0.9571    1.7885    0.5957    1.1776    0.9173    0.1121    1.1097    1.2219
     30000    1.4048    0.9181    0.1862    1.1156    0.0910    1.1292    2.3871    1.6011    1.9668    1.4933    2.8165    1.0076    1.0672    0.2698    1.0466    0.2910    0.9471    0.5889    0.3006    1.0356    1.0907    2.0329    2.5055    1.2026    2.8646    0.2982    2.3894    1.6353    1.6081    1.2912    2.9189    0.0601    0.6919    1.7370    0.5177    1.0580    0.6542    0.4561    1.1548    3.0289    1.5956    2.3657    0.7199    0.6347    2.3159    1.5434    2.5923    0.8231    3.1119    0.8561    2.3866    0.2796    2.9835    2.9397    3.1313    0.4355    0.7131    0.3017    1.7089    0.0656    2.2259    1.8123    1.0597    1.2339    0.8616    0.5977    0.1694    2.0164    0.3273    0.2008    1.5701    1.1176    0.4613    0.3012    0.2065    0.0188    0.6233    0.4881    2.9959    0.0908    0.7189    0.5372    0.5808    0.7635    0.5027    0.7068    1.1339    2.9441    1.5926    0.8692    2.1649    0.0116    1.3334    0.7732    1.2400    0.2457    0.6060
     40000    2.1745    1.7663    2.1156    1.4185    2.2150    3.1211    2.8944    2.1465    3.0946    1.8733    0.6877    0.3128    1.7511    2.6782    1.4254    1.8744    0.5118    2.7786    1.1239    2.2063    0.9917    2.9866    0.0752    1.4194    2.6009    2.8719    1.7762    1.7578    2.3566    1.7182    1.5515    1.7939    2.6171    0.2267    2.3852    1.6071    1.4252    1.3465    3.0676    1.0843    2.8498    0.6276    2.9350    2.3559    0.5283    2.1958    1.4515    1.1562    2.8394    2.1994    1.6684    3.0573    2.2593    2.6915    2.4792    2.8986    1.6438    1.3942    0.5088    1.0453    0.6699    0.1330    0.8520    0.5908    0.2219    0.9926    0.9337    1.4344    2.9554    0.3615    2.5182    0.3195    2.3889    0.3871    0.3268    1.4711    0.6805    1.1168    1.5337    1.6632    1.2448    0.0205    1.8540    0.8903    1.3194    0.6519    2.6850    1.0056    1.6081    2.2341    0.1680    0.3803    1.3088    2.9322    2.0861    0.8408    2.1113
     50000    2.0328    2.3961    3.0622    2.0804    2.7296    1.1640    2.9937    2.7059    1.9975    2.5465    2.3045    0.4078    2.1646    2.7613    2.0525    2.7014    2.0224    2.9817    1.9606    2.6924    2.6847    3.0816    1.9696    1.6564    2.1988    3.1346    1.5661    1.8967    2.7416    0.4170    2.7404    0.8250    1.8520    2.8364    1.7644    2.3091    2.5161    0.2142    2.2977    2.1355    2.0525    0.2268    0.8538    2.2469    0.9017    2.8879    1.9835    0.8135    2.8823    1.7154    2.7528    2.0651    2.7475    1.3314    2.8058    2.7437    3.1086    2.7318    2.1515    1.5111    0.4917    0.6025    0.1106    1.1379    0.8335    1.8225    0.7343    1.4735    1.5101    1.4322    2.5396    1.1764    1.6619    2.1800    1.8902    1.4011    2.9782    1.0453    1.3310    2.9194    1.4439    1.6480    2.4499    2.4075    2.0208    1.9211    2.1056    2.8893    0.0735    2.9327    2.2596    0.9930    2.2585    1.4077    2.7056    1.5376    2.4778
     60000    1.8306    1.3883    0.9956    0.5052    0.0785    0.0397    1.2367    2.7767    0.3102    1.1982    0.1776    1.1093    1.6667    1.4225    3.0699    0.9106    0.0978    0.2636    1.7157    0.7784    0.3434    2.4119    0.6649    2.8329    1.0352    0.7025    0.5389    1.8105    2.1284    1.3927    1.3181    2.1124    2.1334    0.9494    1.2099    1.1564    1.2338    1.4045    2.2033    0.9666    2.7962    0.4706    0.0132    1.2780    0.7885    1.6267    2.4253    1.1303    0.5079    2.2296    1.5283    1.7180    0.3128    2.4940    0.6951    0.9289    2.4912    0.4420    2.0720    0.8748    2.2302    0.5079    0.1820    0.0837    0.0334    0.1939    1.6478    1.0839    2.6078    0.1430    3.0135    0.5933    2.8556    0.1176    1.8220    0.1220    1.6113    0.2260    2.2282    2.3987    2.1499    0.5392    3.0373    0.8935    1.6684    0.9576    0.7919    2.4410    1.9739    2.6594    1.7588    2.9496    1.5842    2.7110    1.7769    2.7397    0.0428
     70000    1.6526    0.7678    0.0960    0.0819    0.6266    0.1718    2.7081    1.3069    0.7014    1.9805    1.3059    1.1474    0.6809    0.0182    0.5242    0.2532    0.3963    0.0247    1.3240    2.6658    1.6630    2.4178    2.6122    0.5925    2.9493    0.5502    1.5991    1.3547    2.2010    0.8660    2.3355    0.7170    1.2884    1.3153    0.4244    1.1417    1.2003    0.9119    1.6542    0.9060    2.3799    0.8784    0.3569    0.6519    2.7960    0.9903    2.9422    0.0106    2.5691    2.4788    3.1017    0.4843    0.7104    3.1295    2.2197    0.3491    2.0525    0.1251    2.4138    0.1836    2.1370    1.1365    0.5519    0.7832    0.2572    0.2771    0.9306    0.5496    0.3870    0.2001    0.7191    0.0658    0.3550    0.5900    0.2214    0.5840    0.1829    0.8827    1.0430    2.3356    0.4844    0.8368    0.7410    1.2351    0.2959    1.3580    0.5237    2.8806    2.5874    2.3119    1.9367    2.3027    1.6992    1.4680    1.8510    2.5795    0.0623
     80000    1.3213    2.6610    2.4447    2.5039    1.2770    3.0485    1.5621    2.2801    1.1786    2.6767    1.8349    0.3314    1.5461    2.5000    2.5217    3.0488    2.1558    2.4042    2.7100    1.8790    0.5750    1.9439    0.9451    3.1120    0.5451    3.0994    1.5059    2.7558    2.8820    2.8071    2.9205    0.4689    1.3205    2.0446    2.3897    3.0519    0.9767    2.1099    1.6879    1.6243    2.5149    0.3695    1.3540    1.5271    0.6375    3.0172    1.6944    0.6871    2.7167    0.7743    3.0982    0.4467    3.0594    0.7346    2.5901    2.7401    2.6261    2.9504    2.1876    0.5415    0.7089    1.5138    0.0696    1.2273    1.2311    2.0917    0.9804    3.0492    1.7991    1.6897    2.2611    2.0849    2.4850    1.7246    2.4767    0.5592    2.5912    1.4702    1.8196    3.0660    1.9861    1.4366    2.6805    2.1793    2.9492    2.3254    1.6913    2.1489    2.6280    1.1751    2.9157    0.0544    2.0982    0.6006    1.8409    2.5539    1.3985
     90000    1.9615    1.0722    2.8854    0.8376    2.9220    1.1783    2.2993    1.5716    1.7854    0.8228    1.9140    0.5387    1.7805    1.7116    1.9711    2.8872    0.8299    2.1153    1.4217    2.1501    1.1373    1.7335    0.2020    0.9599    2.4534    2.4225    1.3894    1.3272    2.2725    0.4095    2.9838    0.7136    2.5330    2.1412    2.9733    2.9445    1.6784    0.9661    1.4019    1.8786    2.9035    0.2920    0.1503    2.6726    0.1478    2.1916    1.4255    1.0225    2.3956    0.1359    3.1037    0.1197    2.7145    0.3503    2.8047    1.9998    2.3854    2.9549    1.9024    0.3754    0.3249    1.5832    0.7092    1.3790    1.0314    1.5241    0.2763    1.4539    0.5903    1.2688    0.2331    1.4740    0.7343    1.0110    0.7663    0.9470    0.7612    1.0977    1.6033    1.4117    2.6111    2.8690    0.8655    1.1234    1.2607    0.7995    2.2853    2.8874    2.4183    1.3922    2.5414    0.6040    2.7072    0.3993    2.5456    2.8072    2.4481
    100000    2.1547    1.6137    2.8767    0.8611    3.0294    0.6089    2.9039    0.5627    2.6691    2.0855    2.2123    0.3589    2.1106    2.7921    1.9886    2.7542    2.0542    2.6723    2.0098    2.4580    3.0439    2.7793    2.7088    1.2566    2.4851    2.4516    0.9473    3.0394    3.0281    1.5938    2.7895    0.3514    1.4106    2.7476    1.4264    1.8333    1.7790    1.5637    2.8847    3.1005    0.5929    0.3670    0.9840    1.9758    3.0005    0.0274    1.8976    0.4881    2.9715    1.5247    2.2207    1.0559    2.8966    1.6070    2.3525    2.8524    2.9043    2.4860    2.0392    0.6419    1.2719    3.1294    0.3882    1.3829    0.3206    2.2266    0.0334    2.5586    1.7353    1.3762    2.2663    0.9606    3.0425    0.8572    2.5510    1.2601    2.8522    1.4718    1.2371    2.1408    1.2345    1.4436    2.7449    1.8820    3.0261    1.6897    1.9246    0.2334    2.8600    2.3735    2.9709    2.5591    2.7799    2.9852    2.4700    1.0438    2.3804
    110000    2.3174    0.9347    2.5722    0.4466    2.6884    1.9560    1.8023    0.2569    1.8929    1.3594    0.0258    2.4029    0.0637    1.5647    1.2417    1.8543    0.4078    2.6395    1.2703    0.0731    1.5049    1.5921    2.6755    1.4318    2.9197    0.6860    2.2176    0.6257    3.1203    0.8622    2.7685    0.6288    2.4738    2.5882    0.4654    1.7849    1.5571    1.1299    2.5554    0.3758    2.6237    0.1843    2.0729    0.1780    1.6800    0.1458    2.6824    0.3555    2.7491    1.4675    2.7752    0.9168    2.7279    2.6355    2.4632    0.5324    2.1896    0.2066    1.9633    0.1031    1.6059    1.1644    0.2148    0.8786    0.0862    1.7296    1.5893    2.2930    2.6857    1.5661    1.8560    3.0066    2.3307    1.9160    2.5871    2.7650    2.1954    3.0074    2.8800    2.6661    2.3760    1.4803    2.4793    1.8025    1.0662    2.8083    0.7307    2.9867    2.2023    3.0828    1.9381    0.4278    0.3643    1.1176    1.2698    2.6663    0.5387
    120000    1.7821    1.0945    2.5799    1.0122    2.3040    1.1254    2.9637    0.0191    3.1127    0.2724    2.8552    0.4739    0.6947    2.5159    0.6332    2.9244    2.0247    0.6545    1.4203    0.8351    0.1349    0.2602    2.3970    1.3135    0.4553    3.0863    3.0636    2.5634    2.5507    2.1153    2.7244    1.1766    1.3387    0.9705    2.8324    0.0263    1.6130    2.3635    0.8227    2.6889    2.1127    2.6776    1.5444    0.0141    0.9181    2.8277    1.3509    0.4433    2.0636    0.9971    1.4369    1.8005    2.4717    1.3088    1.2340    0.4019    3.0332    0.2800    1.1471    0.1264    2.6551    2.7216    0.9812    2.9102    1.4217    2.2534    0.5953    1.7312    0.0086    2.1982    0.6101    2.2751    0.1456    2.0420    0.3439    1.5947    1.2482    3.0748    2.1914    2.2194    2.7412    2.4073    1.6369    1.5724    2.7481    0.5675    2.5585    0.8137    2.9989    0.4023    2.5540    0.0590    2.7504    0.3141    1.1721    0.9019    1.9014
    130000    1.3555    2.2458    1.6601    2.3827    0.4210    3.0676    2.5786    0.6762    1.8887    1.6429    2.4718    1.1599    1.0581    2.1193    0.1161    3.0631    1.6996    0.9350    2.1004    0.9370    0.0679    0.5837    1.6446    2.5105    1.0676    3.1283    1.4868    2.8395    2.5523    1.8778    1.3509    1.7206    2.9819    0.7002    2.6298    0.5655    1.6339    1.9519    2.3746    1.4626    2.4550    1.4475    2.4580    0.1357    1.2007    2.4386    1.7178    0.4820    2.7031    0.7052    2.8556    0.1653    2.9102    0.1224    2.3452    1.9216    2.5246    0.6914    2.8002    0.2025    1.4176    3.1377    0.4133    0.7696    2.1931    3.1374    0.7544    1.9974    0.3933    1.9838    1.3051    0.1358    1.7380    2.0094    0.6800    1.3202    1.8975    1.7202    1.2124    2.1237    2.4070    2.1494    1.6449    3.0532    2.1215    3.0757    1.0718    1.5883    1.7139    1.1129    2.8217    0.6954    3.1192    0.5493    2.4412    1.2853    0.0428
    140000    1.3632    2.6108    2.1081    2.4700    0.5336    2.8449    2.1664    0.8013    2.0540    0.5188    3.0180    0.6253    1.7090    1.0645    1.6143    0.4921    0.4467    0.3978    2.1440    0.9533    0.3836    0.9452    1.2062    2.4703    1.0331    2.7617    1.0532    2.6445    2.6669    2.6481    2.5872    0.6873    2.8370    0.2095    2.1861    0.5896    1.7565    1.7639    2.9245    1.0806    2.5360    1.2094    2.3687    0.5280    1.4228    2.8165    1.7036    0.8727    2.8225    0.7421    3.0450    0.1990    2.9841    0.4733    2.5995    2.9994    2.3233    1.8747    2.5061    0.4384    0.7159    2.1939    0.2632    0.6752    2.1884    2.6186    0.5105    2.4246    1.1024    1.7664    2.3547    1.8845    2.9771    1.7862    1.1987    0.8260    2.0949    1.3947    2.4444    2.7043    2.1317    1.7746    1.8933    2.8811    2.4559    2.6648    1.3585    1.4403    1.8266    0.2220    2.6424    1.0712    2.9276    0.1660    2.7194    0.1290    0.8122
    150000    1.5629    1.8769    2.2668    1.8712    1.4498    2.3205    2.6384    0.2766    2.7671    0.0043    2.6547    0.8002    1.9545    0.4895    2.1612    0.3984    0.8221    0.2313    1.9368    0.9247    0.1131    0.8346    1.0661    2.4692    0.7040    2.6832    0.9414    2.3829    2.5787    2.7850    2.4665    1.2110    2.9283    0.7275    2.7495    0.4117    1.8362    2.0215    2.2405    1.7722    2.4661    1.3911    2.1314    0.6331    1.4305    3.1155    1.5034    0.9080    2.6574    0.5428    2.9227    0.0018    2.8730    0.1268    2.6834    2.8849    2.1608    1.8985    2.5740    0.1795    0.9603    2.6047    0.5206    0.5461    2.4767    2.4766    0.4742    1.6635    0.3071    1.5775    1.8511    1.1297    2.7306    1.4640    1.0194    0.9009    1.9130    1.2803    1.5187    0.4248    2.2735    2.2061    1.6616    2.6876    2.6209    1.1374    2.2855    1.6095    2.6382    0.2630    2.9773    0.0883    2.8783    0.8620    3.0956    1.1465    0.5795
    160000    1.5745    2.2935    1.3268    2.4087    1.4531    2.4581    1.3446    2.9326    1.1258    0.5672    0.4378    2.8579    2.0557    1.9623    0.6109    3.0971    0.4069    1.2379    1.0280    2.9482    0.6225    2.9284    0.1043    2.8998    1.5814    1.6422    0.5007    2.0817    2.1759    1.9340    0.7785    0.8008    1.9104    0.1934    2.0048    0.0793    3.1044    0.5450    1.5445    2.6013    2.7655    0.9733    2.6867    2.6875    0.3989    2.0732    2.9178    2.0724    0.3912    1.9958    0.9950    2.9565    2.5020    2.1823    2.8858    2.9861    2.8067    2.0138    2.7755    1.0130    1.0439    0.0632    1.1016    0.7624    0.3478    1.2903    0.7511    1.8119    2.2545    0.9621    1.9965    0.4798    1.9602    0.4613    0.9433    1.1311    0.2341    1.7607    0.0193    3.0136    0.4499    2.3828    2.0575    2.4447    2.7159    0.7241    2.6810    1.4560    0.1877    0.2554    1.4175    2.7692    1.1527    2.8329    1.6665    2.6405    1.0649
