# Step Torsion_Angles(rad)...
         1    2.0750    0.9677    1.9837    1.7361    0.3387    1.5100    1.6565    1.9653    0.4016    2.1796    1.4868    2.0378    0.9106    2.7624    1.4525    1.8323    2.7841
     10000    1.1315    2.8645    2.2263    1.4310    2.8033    2.5607    1.5288    0.3135    2.5844    1.4002    2.5614    3.0026    2.5138    2.8911    2.9815    3.1406    3.0019
     20000    1.7631    2.7715    0.5039    2.1153    1.0083    2.6213    0.5768    0.6128    3.0812    0.5881    2.8999    1.3034    1.3405    0.7232    2.5722    0.3684    2.9721
     30000    1.2041    2.6773    2.1372    2.6121    3.0171    1.4153    2.7821    0.8224    1.8239    1.6848    3.1216    0.6586    3.0744    2.4590    2.7307    2.5426    2.6021
     40000    2.1134    3.0740    2.6330    2.6002    1.7157    1.8057    2.6273    1.3234    3.1081    2.9122    1.8319    0.6299    2.3431    1.9715    2.9608    1.7306    3.1159
     50000    1.9188    2.6897    2.1532    2.4217    2.9888    2.8545    2.8838    0.5790    3.0189    0.5366    1.8248    2.1325    3.0666    2.0721    2.6372    1.0989    3.0063
     60000    2.0853    2.5905    2.7612    2.1850    2.5580    2.6569    3.1285    0.7541    2.5026    0.7005    2.9475    1.3567    3.0755    1.8071    2.8748    2.3597    3.0983
     70000    2.1058    2.8572    2.7923    2.7534    3.0726    0.5517    2.3125    2.9439    2.9192    2.2388    2.8592    2.8730    3.0559    0.5497    2.1523    2.1659    2.4129
     80000    2.0668    2.9629    2.9644    2.9987    2.4397    2.4233    0.0434    0.2636    2.1308    2.9448    1.5212    1.6949    0.4207    0.5833    2.4375    0.5058    2.7315
     90000    2.2219    3.0373    2.7802    2.5659    2.7518    2.0837    1.5656    3.0918    2.4681    0.3213    2.5765    2.1757    2.6268    1.8130    2.9563    1.4791    1.4554
    100000    2.1604    2.9554    2.9333    2.7390    2.6366    0.3533    2.9298    1.3926    2.1751    1.2000    2.4209    2.6177    2.2912    2.9658    2.7720    3.0587    3.0545
    110000    1.3395    2.4852    1.2255    0.1342    2.4549    0.3216    2.9916    1.3854    1.8475    1.2351    2.2259    2.3012    1.2422    2.8388    3.0036    1.8926    2.4100
    120000    2.0658    2.7821    1.4213    1.1063    2.8968    0.5120    2.3314    0.9350    2.5263    1.9740    3.1184    2.1320    1.9768    2.4052    2.7209    1.5224    2.5726
    130000    2.1196    2.8904    2.7994    2.7646    2.5701    2.6708    2.2915    0.2660    2.6412    1.7569    3.0115    3.0835    2.9752    0.2792    1.4505    0.7271    3.1031
    140000    2.1026    3.0844    2.8878    2.5522    2.9119    2.6528    1.9283    1.5390    2.1583    0.4754    2.9813    2.5437    3.0605    2.2407    2.2924    1.9762    2.7470
    150000    1.4741    2.5295    2.5535    2.5167    2.9582    1.0115    1.0440    2.3903    2.3383    0.0198    3.1153    2.9064    3.0997    2.4195    2.8193    2.1749    3.0610
    160000    2.3250    3.0915    2.7726    2.7107    3.0813    1.7251    2.6611    2.3388    2.9777    0.3896    3.1148    3.0219    3.0380    2.8660    2.7141    2.8567    2.7909
    170000    2.1484    2.9849    3.0339    2.4947    2.9184    0.4169    1.6468    2.9521    3.0647    2.2639    3.1344    2.4363    2.7492    3.1023    2.9080    2.7734    3.0554
    180000    2.2183    2.9770    3.0831    2.5561    2.5538    0.3541    0.7533    3.0416    3.0295    0.9448    2.4346    2.1873    2.8579    1.9271    2.9849    2.0162    2.2984
    190000    2.2248    3.0222    2.7290    2.9159    2.9603    2.7293    2.9872    1.1618    3.0448    1.5196    3.0720    2.6374    2.9774    2.6586    2.9121    2.4967    3.1225
    200000    1.8626    2.3032    2.3104    0.6355    0.5778    0.2552    1.2419    0.4327    1.0700    0.6308    1.6169    1.4692    2.9014    2.6075    2.9382    2.9320    2.7102
    210000    1.2744    2.9905    2.9700    2.3627    2.6734    1.6284    0.2412    1.3006    0.7947    1.7931    2.9737    2.0067    1.8865    0.1818    3.0318    2.1994    3.1168
    220000    2.1199    2.8989    1.7678    1.6875    2.9382    0.3241    2.7134    0.8752    1.2486    1.8935    2.8250    2.0913    1.3808    3.0784    3.1408    1.0125    2.1828
    230000    2.0379    2.7215    2.7256    2.2752    2.7876    2.4432    2.9579    0.9723    3.0013    1.0520    2.9965    3.1314    3.0993    3.1058    2.9306    2.3157    3.0635
