# Step Torsion_Angles(rad)...
         1    2.4326    2.1715    1.3355    1.0236    3.0337    3.1398    0.0117    0.0206    3.1280    3.1397    0.0076    0.0070    3.1400    3.1230    0.0996    0.1074    3.0807
     10000    1.6339    3.0149    2.7136    2.5056    3.0476    2.1354    1.6176    2.2824    1.6803    2.5754    2.7959    1.3332    2.9217    2.5492    3.1040    2.0028    2.3430
     20000    1.4947    3.0763    2.7338    2.3806    3.0093    1.9862    2.9064    2.3880    2.2339    0.7721    3.0379    1.8067    3.1207    2.7157    2.9966    2.7503    2.5759
     30000    1.7752    3.0523    2.2815    1.7111    2.9334    2.4421    0.8901    0.5434    1.6364    2.7791    0.4028    0.8770    2.3598    0.8444    2.3421    1.9659    2.3862
     40000    1.9162    3.1191    2.7141    2.9556    1.1413    0.4581    2.6043    0.9115    2.1222    1.4706    1.8609    0.8967    0.4496    0.1561    2.7926    0.9500    2.1969
     50000    1.9914    3.1146    2.9320    2.4977    2.9152    2.6257    2.8838    3.1202    2.7339    2.3165    2.3760    1.2786    3.0654    0.0240    2.9364    1.4855    3.1299
     60000    1.4748    3.0192    3.0695    2.6700    2.2689    3.0062    2.9175    0.1773    2.4423    0.2992    3.0144    0.3355    1.8816    0.6640    0.8221    2.1685    2.2359
     70000    1.8282    3.1291    2.9544    1.9999    3.0137    0.8836    3.0702    3.1172    2.7761    0.9457    2.9537    1.9416    2.1380    3.1386    2.7123    2.1890    2.8215
     80000    1.9218    3.1390    2.6240    2.6755    2.8564    0.2268    1.8453    2.0354    2.3572    1.1482    1.1183    2.2148    0.8646    0.6087    0.0295    0.7694    2.8330
     90000    1.5608    3.1402    2.9032    2.1252    1.9864    2.0561    2.9345    2.8697    2.8509    2.3363    1.7163    0.7505    2.0490    2.3158    2.9556    2.9269    1.8430
    100000    1.3880    2.9818    2.3255    0.0179    3.0500    2.7872    3.1110    2.8193    2.4899    2.5316    1.2995    0.6030    3.0771    1.2308    2.3597    0.1996    2.3926
    110000    1.2325    3.0839    2.7534    2.2057    3.1214    0.6699    2.7611    2.1261    2.2358    0.7464    1.4456    0.5030    1.6083    1.5187    2.1603    3.1186    2.8260
    120000    0.9798    3.1299    1.8151    1.7790    2.9759    1.0880    2.4231    2.6646    2.9046    1.5412    2.5703    2.8481    1.1147    1.6343    2.9732    0.4541    2.5890
    130000    1.0017    3.0901    3.1012    3.0211    2.9520    2.8218    3.1155    2.2836    2.2689    0.6525    2.9439    2.7725    2.7853    2.6970    2.6468    2.4173    2.0614
    140000    2.0580    3.1182    2.5106    2.2716    2.8762    2.7239    3.1060    0.3912    3.1274    1.5541    2.5588    2.6911    3.0624    0.1970    2.6123    2.7020    2.8287
    150000    1.3211    2.9693    1.3539    2.3362    1.5691    0.0813    1.8200    0.6394    2.1217    0.3553    2.5758    0.5594    1.4096    0.7507    1.9885    1.5967    2.9750
    160000    0.9309    3.1000    2.5094    2.0378    2.7971    0.7455    0.7461    0.0902    3.0729    0.6858    2.8216    1.9600    3.0610    1.7729    2.9015    1.7698    2.9523
    170000    2.0067    3.1261    2.8737    2.6680    2.9898    2.2305    3.0792    1.8440    2.5460    0.2362    2.7365    2.3263    2.8815    2.3015    2.6718    1.3124    3.0778
    180000    1.7276    3.0437    2.7103    2.6538    3.1128    0.8632    2.6355    1.9314    3.0410    0.3893    3.1288    0.3480    0.9595    0.5017    2.3822    1.5323    2.8073
    190000    1.9227    3.1041    2.9440    2.4516    3.0575    2.4118    3.0226    0.5490    2.7799    2.7678    2.2242    0.3272    3.0028    1.4188    2.8642    2.5142    2.6971
    200000    1.9020    3.1282    1.1539    1.0301    2.6885    0.6358    1.0561    0.7914    3.0621    0.0466    0.9922    0.9369    0.1309    2.4867    2.2031    2.7535    2.2794
    210000    1.9927    3.0664    2.8206    2.5695    2.8236    2.5676    2.6990    0.0623    2.9507    2.9169    3.0360    1.6412    2.7890    0.8315    3.0807    2.6968    2.4848
    220000    1.9757    3.0460    3.0059    2.7695    2.9412    2.8595    2.8662    0.0718    1.8424    2.5338    2.9682    1.8277    2.8416    0.5497    2.0019    3.1369    1.9892
    230000    1.3638    2.0855    3.0971    0.2958    1.7236    0.5503    3.0451    0.2316    2.1156    1.0426    3.1168    1.0458    3.0555    0.5053    1.4043    1.1986    2.3214
    240000    1.6543    3.1141    1.5585    0.2660    2.9468    1.0443    0.3198    1.4634    2.1963    2.5893    2.9089    1.2586    1.2864    0.6385    0.3579    2.8907    2.6118
    250000    2.0182    3.0936    2.7781    2.9661    2.9663    0.2719    3.0532    2.4824    2.3253    2.7304    2.9916    0.8491    2.3611    0.9416    3.0734    2.7774    2.6944
    260000    1.1346    2.9935    2.3851    1.9939    2.5612    1.2553    0.4906    1.3803    2.6075    0.0749    2.9113    0.7175    2.6881    0.7495    2.6553    2.3602    3.0613
    270000    1.0979    3.0141    3.0554    2.6064    2.9841    1.7754    2.0983    0.7101    1.1461    0.2918    2.5548    0.1710    1.7740    0.6989    2.5025    1.4032    2.9359
    280000    1.7759    3.0472    2.4037    1.5902    2.7570    2.4526    2.5977    0.9779    2.3269    0.1078    3.0478    1.1216    2.8522    2.0736    2.4873    2.3749    2.9470
