# Step Torsion_Angles(rad)...
         1    2.3488    1.6424    1.8088    0.7605    2.6566    2.0639    0.4714    0.5703    2.5544    2.0642    0.4844    0.5561    2.5659    2.0570    0.4948    0.5619    2.5673    2.1804    0.3473    0.6233    2.5660    2.2577    0.2495    0.6630    2.5660    2.2577    0.2495    0.6509    2.5670    2.1568    0.3347    0.6412    2.5521    2.1858    0.2275    0.7900    2.4950    1.7786    0.8185    0.4611    2.5097    1.7970    0.9293    0.3485    2.5570    1.7863    0.9293    0.3485    2.5570    1.7863    0.9293    0.3485    2.5570    1.7863    0.9293    0.3485    2.5546    1.8247    0.7131    0.5291    2.5052    2.2094    0.3670    1.0514    2.6337    2.6495    0.6338    1.1503    2.5620    2.6495    0.5397    1.0620    2.5913    2.5811    0.4902    1.0879    2.6801    3.0139    1.4793    1.6323    2.6207    3.0363    1.4409    1.6867    2.6289    3.0400    1.4667    1.7091    2.6295    3.0368    1.4162    1.6559    2.6540    3.0367    1.7015    1.7046    2.6341    3.0082    1.6516    1.7046    2.6341    3.0082    1.6516    1.7046    2.6341    3.0082    1.6509    1.7040    2.6343    3.0081    1.6510    1.7040    2.6650    2.6670    2.0967    1.7564    2.6552    2.5895    2.0856    1.8369    2.6549    2.6278    2.1601    1.9402    2.6934    2.6286    2.1958    2.0709    2.5952    3.1354    2.1716    2.1923    2.8070    2.5895    2.1960    1.7492    2.7696    2.6330    2.2059    1.8261    2.7659    2.6394    2.0934    1.9461    2.5576    2.9662    1.9144    2.2938    2.6379    3.0223    2.1930    2.2337    2.5840    2.9451    2.2519    2.1763    2.7336    2.6280    2.4023    2.0839    2.7707    2.6398    2.5011    2.1256    2.8136    2.5226    2.5670    2.1181    2.8014    2.5462    2.5983    2.1765    2.8138    2.5719    2.6075    2.1791    2.8322    2.4813    2.5788    2.2833    2.7304    2.7457    2.5818    2.3378    2.7347    2.6306    2.4996    2.2229    2.7224    2.5648    2.5084    2.2335    2.7311    2.4820    2.5783    2.1708    2.8301
     10000    1.1494    2.7570    1.4225    1.9487    2.1454    1.7043    1.8449    2.7403    1.1799    1.2912    2.3077    0.8417    2.8123    0.5926    2.6143    2.7079    2.9145    2.8854    2.9313    0.6110    2.6684    1.9120    1.9631    1.2512    2.4346    0.8036    2.9750    0.1508    3.0844    1.0339    0.6358    0.2315    1.3357    1.3314    1.1060    1.2692    0.8617    1.3914    0.9810    0.5578    1.2378    0.6514    1.1499    0.1499    1.7200    1.1494    2.4057    0.8115    2.5626    1.6173    1.6644    0.2292    1.4470    0.7036    0.8403    0.9082    0.3939    0.7776    1.9222    0.7608    2.6937    1.4507    2.2041    0.1861    1.8511    1.1103    1.8797    2.1305    1.7103    1.6806    1.7992    1.2395    2.2827    1.9258    0.9632    1.6697    0.9457    2.8114    0.9814    2.9887    0.0949    1.8237    0.4231    1.1714    0.4868    0.9947    0.9863    0.4827    2.2500    0.4119    2.3005    0.5684    3.0689    1.0945    1.6294    2.3565    2.3507    1.5034    3.0908    1.4497    2.1695    1.5884    2.3011    1.9924    0.3312    1.1738    3.1112    0.4910    2.2621    0.4824    2.7327    0.3351    2.0823    0.9642    2.1013    0.8088    2.9425    0.1746    2.4443    0.8272    1.2367    0.4717    2.1283    0.4899    2.7179    0.2486    3.0766    2.0211    2.4758    1.4962    1.4859    2.2360    0.3379    1.9766    1.6378    3.0456    1.5639    0.7030    0.5423    0.4978    0.1197    0.2119    0.0441    0.0901    0.4229    0.6297    0.2248    0.1278    0.0467    3.0601    0.0207    0.2486    0.6662    0.5427    0.0979    0.5642    0.2976    1.5147    0.6568    0.8978    0.6653    0.1182    0.8768    1.2493    0.1249    1.8370    1.0700    1.1871    0.0163    1.2238    0.7469    1.9798    0.1821    0.9234    0.8624    0.9161    0.0137    2.5849    0.3675    1.2486    1.1771    1.1247    0.0423    1.0019    1.8809    1.0858    2.9313    0.8904    2.9777    1.2184    2.3675    1.4410    1.1118    1.0022    0.3428    1.4150    0.2055
     20000    1.1854    2.1562    1.7865    1.7753    2.4446    1.5923    1.8578    2.6302    0.5623    1.1226    2.1656    1.4998    2.4604    2.3960    1.5421    2.1380    3.0591    2.8931    3.1179    1.3537    2.3837    3.1349    1.4021    2.1758    2.1926    2.2725    0.3680    1.0991    2.4093    1.8215    1.2023    0.1191    1.6893    1.7713    1.4509    1.1031    0.8877    1.9818    1.1187    0.4772    1.5007    1.2878    1.6504    0.3971    2.0712    1.7208    2.5276    1.4389    2.8114    2.1508    2.5197    0.7774    1.9498    1.5117    2.2638    0.7682    2.5928    1.2551    1.9904    0.9671    2.6236    2.0599    2.3674    0.7153    0.8423    2.2234    1.9660    2.8774    1.0496    0.6215    0.5283    1.4422    1.0408    1.1584    0.6730    1.4936    1.1033    2.3520    0.8411    2.8934    0.1946    2.0088    0.4211    1.5049    0.5799    2.9482    0.9572    1.1538    1.2415    1.8696    0.2493    2.1888    2.0367    1.3362    2.7822    1.5347    3.0746    2.2365    2.9652    2.4843    1.9294    2.7191    2.4621    2.6505    0.3173    0.5372    3.0359    1.4306    3.0410    1.0835    3.0518    1.6150    2.6785    0.9766    1.9145    0.8951    1.2562    0.4082    1.8332    0.8464    1.1007    0.7183    1.8530    1.5265    0.1447    1.2731    2.3907    1.2198    3.1145    1.7107    2.6183    2.4308    2.3039    1.8814    2.6668    2.7790    2.4479    1.1574    2.2708    0.4700    2.8314    0.3785    2.7912    0.2012    2.7874    0.9005    2.4372    1.4751    2.2680    2.5115    1.8962    1.7165    2.8701    1.4580    3.1282    0.7045    2.9294    0.5247    2.9724    0.3776    2.8829    0.6280    2.8866    1.1628    3.0295    1.2953    2.8875    1.1691    1.9263    1.3429    0.7895    2.3060    2.7447    1.0362    1.4445    1.6756    2.1678    2.8386    1.6420    1.8578    0.0980    1.5906    2.9962    1.6125    2.6070    0.0734    2.7451    1.2727    3.0485    0.1275    3.0611    1.1988    1.2191    1.9824    2.5640    3.0230    1.4832
     30000    1.0721    1.4381    1.9733    1.2491    2.9596    1.3477    1.5712    0.9208    0.8326    0.8091    1.6766    0.9672    1.9262    1.9831    2.9313    3.0564    2.9309    2.5382    2.6203    1.7802    2.3352    3.0267    1.4268    2.5403    2.1610    2.5382    0.7071    1.1744    2.4692    2.0677    0.2442    0.9959    1.2707    2.1850    0.1929    2.8140    0.3720    2.5301    0.4539    1.3270    0.9501    1.6915    1.1554    0.5847    1.3686    2.1270    1.3212    0.2058    1.8593    2.4837    2.7273    0.4591    1.1132    2.2314    0.8634    3.1193    1.5102    1.4731    1.2313    0.0850    1.8228    2.4623    0.4189    2.1240    0.3000    2.2185    1.7890    2.9590    0.7515    0.4824    0.3770    0.7558    0.6818    0.9311    0.6270    1.3159    0.8855    1.8871    0.9511    2.6722    0.2120    2.0851    0.1931    1.8372    0.7000    3.0533    0.9965    0.9894    1.3694    1.8197    0.3780    2.0905    2.1364    1.1923    2.9204    1.5061    2.9602    2.0332    3.0343    2.3471    0.6508    1.5960    1.8631    2.7055    0.5408    0.7468    2.8585    1.0396    3.0930    0.7631    3.1201    1.5516    2.4362    0.7460    2.1471    0.5821    1.5224    0.2564    1.8674    0.8280    2.1601    0.7530    2.8655    0.4942    3.0060    0.3363    3.0839    0.3597    2.9975    0.7616    2.6812    1.1479    2.4614    0.7138    2.6525    2.8136    3.0383    0.4711    1.6397    0.7342    2.2919    0.3827    2.7863    0.0530    3.1299    1.0023    2.9102    1.4127    1.8032    2.9943    1.6272    1.7988    3.0755    0.7914    2.2418    0.6209    3.0288    0.5587    2.4308    0.4576    2.7975    0.2732    3.0093    1.3496    2.0542    0.4100    2.1602    1.6643    3.1330    1.5087    1.9202    1.5523    1.3913    2.7391    0.6172    2.5931    2.4041    2.8902    2.8266    2.3134    2.0602    2.6080    2.6413    1.6532    1.0842    2.6953    1.5098    1.6547    2.5074    1.8548    1.8657    2.5094    2.8257    0.5752    0.1549    1.3514    0.2564
     40000    1.1225    1.8556    1.8676    1.5886    2.6243    1.4963    1.8225    1.6713    0.2462    1.1973    1.7998    1.2910    1.9530    0.2578    1.6349    2.2171    3.0824    1.2682    2.3003    3.0999    2.0913    2.7273    1.2973    2.0398    2.2399    2.4564    0.4751    0.8551    2.5750    2.2488    0.2666    0.9210    1.6560    2.1899    0.3106    2.5253    0.5789    2.4214    0.8277    0.7702    1.3793    1.5526    1.4754    0.1199    1.8379    2.0507    2.1442    1.1402    2.5643    2.4468    2.7322    0.7824    1.5402    1.9897    2.4133    0.2563    1.8030    1.4483    1.5834    0.6129    2.3317    2.3081    2.1628    0.4306    0.4062    2.4632    1.9134    2.8656    1.0281    0.6670    2.0773    1.3705    3.0036    1.6496    0.8821    2.4038    1.0238    2.5576    0.9861    2.9469    0.2070    1.9344    0.4026    1.5579    0.5791    2.9951    1.0046    0.9721    1.4328    1.8422    0.3160    2.1191    1.8754    1.2746    2.6510    1.3495    2.7015    2.1968    2.7184    2.0874    1.2995    2.3453    2.0997    2.1186    0.0206    0.6719    2.7204    0.5262    2.2760    1.0145    3.0737    1.6069    2.7357    1.0303    1.9661    0.6851    1.4039    0.5276    1.9641    1.1101    2.1538    0.1858    2.3397    1.0986    0.6830    1.4434    2.6233    2.2469    3.1206    1.4748    1.6825    1.9215    0.0123    1.9363    2.0770    2.9657    1.9593    0.9185    0.1661    0.2913    0.6414    0.2458    1.0640    0.0137    1.2280    0.4719    1.1988    1.3224    1.0466    2.4171    3.0501    1.1257    1.9813    1.3562    1.7479    0.1621    1.8627    1.1021    2.8525    0.2617    2.4910    0.1546    2.4179    0.1711    2.5111    0.0093    2.0036    0.0702    2.8175    0.3394    2.7295    0.8760    2.2573    1.2969    2.6470    0.3160    2.8908    1.3404    1.7526    0.0771    0.6082    0.0914    1.9316    0.2815    2.6811    0.6240    1.5316    1.8484    2.0458    0.5857    1.9553    2.1015    1.4384    2.4957    2.2800    1.5061    2.7213
     50000    1.0864    1.5352    1.9857    1.3435    2.8456    1.2003    2.0287    1.8641    2.1690    1.1690    1.9900    1.6876    1.9119    0.7007    2.2254    1.2693    2.9642    0.9902    2.6527    2.1624    2.1538    2.2274    1.4382    2.5896    2.2576    2.1799    0.3903    1.2167    2.3908    2.6943    0.1626    1.1575    2.0288    2.4916    1.7567    2.0592    0.9351    2.7565    1.1142    0.3936    1.6139    1.9515    1.6894    0.5490    2.0791    2.4063    2.4536    1.7769    2.7613    2.7430    2.9101    1.6949    1.7923    2.6486    2.2593    2.2276    2.8836    1.7905    1.0896    0.3758    2.3283    2.6868    1.6451    3.1165    0.6716    2.1160    1.8635    2.9248    0.6381    0.4000    0.2120    0.2309    0.3242    1.2568    0.7788    1.6692    0.9731    2.2160    0.9122    2.7274    0.2067    2.0767    0.2536    1.7068    0.5603    3.0350    0.9490    1.1058    1.3544    1.8962    0.2477    2.2384    2.1217    1.2531    2.8377    1.4653    3.0447    2.2255    2.7753    2.2612    1.0384    2.0393    1.9319    2.3846    0.2319    0.7186    2.7342    1.0175    2.9965    0.8543    3.0609    1.5798    2.4659    0.9547    2.0220    0.8498    1.3294    0.1634    2.0813    1.4963    1.6300    0.1452    2.1454    1.5177    0.3439    1.1755    2.7067    1.2035    3.0565    0.9199    2.9215    1.0236    2.7332    1.8089    2.4533    2.7939    2.3729    1.0248    2.0042    0.6198    2.9573    0.4034    2.5810    0.1112    2.6406    0.7570    2.1253    1.0007    1.3259    2.3121    1.8758    1.9515    2.5045    1.5170    2.0232    0.4249    2.7975    0.3084    1.9007    0.0771    1.5340    0.3877    1.1426    1.4054    2.6671    0.6515    2.3589    1.6724    2.8568    0.3246    1.1316    2.3383    2.5461    1.1134    1.5007    1.1935    2.6687    2.5236    0.8807    1.7688    0.7479    2.3248    2.1899    2.6355    3.0094    0.0658    2.7796    1.1363    2.8486    0.6530    2.9320    0.5652    2.7625    2.9024    2.1398    1.8220    0.9530
     60000    1.9589    1.2342    2.1971    1.0465    2.9393    1.3775    2.0232    1.0651    0.7963    1.0923    2.1504    1.3796    2.1068    0.9607    2.9335    0.6577    2.8882    0.9484    2.8569    1.1648    2.5457    1.4636    2.7854    1.2615    2.6188    1.7256    2.8170    1.5198    2.5530    2.4856    2.9853    3.0902    3.0722    3.0923    2.8527    2.5599    3.1399    2.9472    3.0197    2.8001    3.1285    2.9120    3.0080    3.0688    3.0092    2.9712    3.1155    2.8956    3.0867    2.7338    2.7147    2.9566    2.6654    2.7674    2.7306    2.7468    3.0724    2.5854    2.9916    2.7801    2.7720    2.7305    2.5599    3.0085    1.5612    1.6395    2.1653    2.2010    0.4576    0.4244    0.1402    0.9349    0.2510    1.5579    1.0781    1.4864    1.1673    2.3791    0.9837    2.8558    0.2392    2.3903    0.2072    1.7349    0.0674    3.0971    0.6792    1.7160    1.1815    2.1774    1.9560    1.9377    2.7092    1.4484    2.9408    2.0393    1.9522    2.4988    2.4399    2.5980    1.1100    2.6910    1.5997    2.5266    0.2655    1.2050    2.2098    1.6369    2.4025    0.7972    2.9353    1.6562    1.8961    1.1385    1.9168    1.8819    0.5191    0.0047    2.4994    2.0033    1.1902    0.0526    2.2027    3.1408    0.9343    1.3536    2.7335    0.9749    2.4687    0.7717    2.6522    1.4257    1.8717    1.4089    0.5108    3.0471    2.8611    0.4267    2.0597    0.7895    1.7142    0.3320    2.3577    0.1773    2.9225    1.2493    2.9380    1.7719    1.6409    2.8426    1.4465    2.1217    2.1620    2.0934    2.0619    0.5586    1.9393    0.4470    1.8827    0.6478    1.8472    0.0287    1.6472    1.4456    1.1344    1.7898    0.1507    2.5442    2.1822    2.4547    1.6293    1.7665    0.0150    2.2902    0.6603    2.7692    2.6031    3.0149    3.0977    2.3748    2.8535    2.1137    1.6430    2.4798    1.7911    2.9084    1.8633    2.4432    2.1029    0.8622    1.4733    0.0620    3.1000    1.8689    1.6955    0.3530    2.0503
     70000    1.0792    1.7417    1.8814    1.5658    2.6112    1.4319    1.8672    2.4655    0.3610    1.1065    2.0180    1.7060    1.8747    0.4122    1.9500    1.7534    3.0724    1.4607    2.4739    3.0275    2.1651    3.1300    1.5038    1.7524    2.3263    2.9644    1.1459    0.6419    2.7276    2.2246    0.1023    1.2036    1.4125    2.2775    0.1055    2.8163    0.4519    2.4728    0.6892    0.9792    1.1608    1.5301    1.2809    0.2987    1.5351    1.9814    1.9892    0.7345    2.3143    2.3897    2.6952    0.6018    1.3672    2.1847    0.8221    2.9122    1.5033    1.4946    1.1244    0.0187    2.0286    2.4655    0.2224    1.8793    0.4089    2.2524    1.8422    3.1126    0.9082    0.6042    0.2595    0.8427    0.7276    1.0635    0.6843    1.5773    0.9213    2.1402    0.9117    2.6836    0.1507    1.9756    0.2426    1.7105    0.6364    3.0475    0.9689    1.0330    1.3378    1.8241    0.3828    2.0862    2.0684    1.2101    2.8644    1.4556    3.1199    2.1201    2.9303    2.3112    1.1950    2.0623    2.0664    2.5217    0.3514    0.6931    2.8007    0.7972    2.7567    0.9070    3.1100    1.5731    2.4997    0.8074    2.2002    0.0507    2.0694    0.0879    2.2043    1.3150    1.6485    0.2138    2.5120    0.8060    3.1090    0.4309    3.0852    0.3244    2.9483    1.0589    2.7124    1.8661    0.8953    0.1203    3.0406    2.1488    2.6721    0.4770    1.8487    0.5560    2.3766    0.2541    2.6989    0.0272    3.0114    0.6599    3.0341    1.5556    1.9391    2.2562    1.4191    1.1350    1.9024    0.0705    2.1660    0.5113    1.3407    0.4045    1.3000    0.2400    1.4034    0.4815    0.0109    2.0820    2.8130    1.7233    2.6801    1.9153    1.6128    1.3160    0.1072    2.9763    1.9285    1.7636    0.9433    2.6538    2.8757    1.9004    3.0023    1.2454    2.1487    1.1266    2.7453    2.3073    2.9294    0.3229    0.1196    0.5492    3.1303    0.3381    3.1148    2.7105    2.5215    2.5050    2.8150    2.5405    1.7225
     80000    1.0639    1.6660    1.9006    1.4817    2.6914    1.3492    1.9036    2.4616    0.3208    1.0725    1.9759    1.5618    1.9842    0.4860    2.2556    1.2189    3.0380    1.1828    2.5037    2.7093    2.0839    2.8449    1.3801    1.9990    2.2270    2.7867    0.7129    0.8191    2.5961    2.3940    0.0260    1.3120    1.4752    2.4426    0.1701    3.1202    0.4303    2.6441    0.5418    1.1573    1.1478    1.7068    1.2727    0.3146    1.5468    2.1696    1.7551    0.7688    2.5020    2.5717    2.7720    0.6209    1.2259    2.5500    1.0306    3.0720    1.7213    1.6406    0.8734    0.1095    2.1154    2.6495    0.5544    2.0849    0.5986    2.0659    1.8399    3.1154    0.8869    0.5635    0.1689    0.6541    0.6702    0.9118    0.6391    1.3746    0.9056    1.9854    0.8711    2.6290    0.1518    2.0331    0.2102    1.7561    0.6267    3.0659    0.9510    1.0684    1.3158    1.8200    0.4085    2.0658    2.1496    1.2110    2.9512    1.5744    2.9221    2.1301    3.0066    2.4365    1.1269    1.9519    2.0131    2.6735    0.4369    0.6669    2.8807    0.9806    3.0402    0.8416    3.1167    1.5413    2.4340    0.7578    2.2250    0.2473    1.8951    0.0359    2.1895    1.3709    1.6055    0.2201    2.4220    0.6990    2.9267    0.4864    3.0488    0.3699    2.9784    1.0471    2.7026    1.7612    1.0859    0.2157    3.0667    2.1758    2.6344    0.4677    1.8934    0.6294    2.2628    0.2590    2.6108    0.0359    2.9756    0.7124    3.0230    1.6147    1.9126    2.2507    1.3916    1.2190    1.7622    0.1858    2.0614    0.5563    1.5099    0.2326    1.5429    0.0890    1.4040    0.4533    0.1133    1.9794    2.9043    1.7123    2.7092    1.7574    1.4885    1.2558    0.3063    2.6751    2.0991    1.8919    1.5003    2.8610    2.9336    1.5768    2.5609    1.3792    2.9010    1.3979    2.9693    2.7181    2.3632    2.6822    2.6095    2.3103    2.5954    1.1488    3.0764    2.2514    2.3359    2.5405    2.3012    2.5399    1.7462
     90000    1.3537    0.6588    1.3266    1.7560    0.8668    0.8431    2.3193    0.2855    1.3267    0.1288    1.8599    0.0914    0.8014    0.3205    0.3442    0.6054    0.4552    0.6310    0.5445    0.4431    0.5978    0.0722    0.4387    0.3126    0.1732    0.8849    0.7990    0.6248    0.8895    0.8088    2.0821    0.5528    2.7892    0.0656    2.5822    0.6344    3.0130    0.5526    2.8972    0.3080    2.8138    0.4366    2.1582    0.1444    1.9018    0.3328    0.3299    0.1640    1.5671    0.1619    2.2362    0.0701    2.8304    0.1539    2.7391    0.4829    2.6967    0.3979    3.0282    0.2709    2.3875    0.2301    3.0334    0.1547    3.0559    0.9223    2.9346    0.1332    2.7751    0.4857    2.7263    0.3029    1.6456    0.5683    2.9950    0.3075    2.9616    0.5418    2.6915    2.3572    2.8610    1.4763    2.3561    0.8121    0.9144    0.5420    0.7952    1.1296    1.5476    1.4545    1.5407    0.1951    1.2893    0.4384    0.4270    0.5183    0.1709    1.7035    0.4725    3.0461    0.8572    1.5347    1.2265    2.6528    0.1803    1.4762    1.1637    2.7466    0.1808    3.0240    0.0166    1.8939    1.0760    1.5172    1.2622    3.1319    1.3710    2.8914    1.3711    2.2310    0.4662    0.8371    0.9011    0.0445    0.4881    0.4282    2.5850    0.3296    0.7656    0.3256    0.2391    0.1150    0.1316    0.1593    0.0726    2.5774    0.0584    0.9812    1.3713    2.0429    0.8823    2.7173    1.1157    0.2631    1.8175    3.1030    1.1139    1.8545    0.5793    2.0605    0.6962    1.6626    0.3151    1.8999    0.7518    0.3813    1.4955    2.7185    0.9327    3.0660    0.7050    1.0037    0.6412    1.9254    0.6270    2.6647    0.5380    1.3237    0.6096    2.6526    0.4042    2.7111    0.8727    2.1126    1.1837    1.7059    1.4077    1.7322    1.8694    0.0197    1.9890    1.3068    1.4132    0.6131    2.1197    0.4843    1.6810    0.6895    2.1230    0.5542    0.6147    1.0317    0.2803    1.0151    1.5244    1.2760    3.1006
