# Step Torsion_Angles(rad)...
         1    2.0475    1.3895    1.8683    2.2394    0.2663    2.1942    1.6475    2.1463    0.9448    2.9541    1.7450    2.0092    1.6447    2.6217    2.0910    1.7739    3.0579    1.3026    2.6019    1.4109    2.4547    0.5663    2.8502    1.0455    2.3173    0.0097    2.5000    1.0228    2.1417    1.8865    0.4472    1.6566    1.7483    2.2247    0.5070    2.4653    1.6530    2.1048    1.1607    3.1014    1.8340    1.9439    2.0146    2.2699    2.2601    1.6629    2.8765
     10000    1.8995    1.3452    2.0222    1.0768    1.5201    2.8092    2.2096    2.7478    2.3859    1.3111    1.5266    0.7172    2.2577    0.9766    2.3701    0.6666    2.5171    0.9500    0.3383    0.7640    1.7224    2.8308    1.9605    2.7129    1.6307    2.7420    1.7393    1.7266    0.1039    3.0869    1.1382    2.0124    0.5421    0.3511    1.5263    2.8101    1.8940    1.9086    1.2469    2.5967    3.1276    2.0346    2.2399    2.8684    0.1434    1.1638    0.9867
     20000    1.1955    2.4017    1.3895    0.7233    3.0864    1.3751    2.1683    2.9138    1.1120    1.4087    0.5839    2.8508    0.4872    2.5824    0.8862    2.9414    0.7345    1.7224    2.3306    1.4962    3.0103    2.2848    3.1055    2.9879    2.8303    0.1154    2.1662    2.5966    0.7519    3.0975    0.8427    1.7653    1.7745    0.8774    1.8787    2.5269    1.3297    1.6418    1.7481    1.3792    0.3782    1.8889    2.6516    2.2959    1.9081    2.4681    1.7182
     30000    2.1509    1.1148    2.2705    0.5550    2.1314    2.1116    2.1686    2.6074    2.4401    0.6630    2.7038    0.3170    2.9930    0.5215    2.7790    2.8013    2.3846    2.2625    1.1165    1.6459    2.1140    2.3695    2.9600    3.1108    2.4167    0.4244    0.4000    1.6279    0.5894    2.5446    2.0849    2.0871    2.4459    0.8285    1.7420    1.8765    0.6713    1.8288    1.0455    0.1208    0.5024    2.7770    0.2539    1.6135    0.9671    0.6768    2.1955
     40000    2.1698    0.5967    2.8228    0.5550    2.9237    2.3411    2.5094    2.8937    3.0749    2.8367    2.7745    0.2738    3.1166    2.5198    2.1135    2.5319    2.3451    0.9611    1.6686    2.9136    1.1760    0.2723    1.1118    1.5295    2.2773    1.6878    2.6647    2.4399    2.9420    1.6444    1.5065    1.1524    1.2708    2.1970    1.2027    0.9867    1.8383    1.9819    1.7563    2.1931    3.1392    1.4383    2.6992    2.8269    0.8699    2.8369    2.8688
     50000    2.1476    0.7617    2.7554    0.5031    2.5083    2.1663    2.2223    0.4649    2.1660    0.9111    2.8900    0.0737    2.9586    2.0607    1.8300    2.5771    2.6887    0.0197    1.9848    0.2143    0.2470    0.9017    2.9196    1.3142    3.0682    0.2089    1.4118    2.7874    2.7810    2.3322    2.2220    1.0087    1.1823    1.4180    0.7482    1.0512    1.4466    2.9950    2.0935    1.6981    1.6828    2.3485    2.1547    1.9526    2.5277    2.3205    2.7855
     60000    2.2169    2.4409    1.7323    2.2384    1.1706    0.8249    0.2589    2.9106    1.2096    0.2693    0.7827    0.2726    2.1024    1.5217    2.2138    2.9171    2.9898    0.1440    2.9967    2.5020    2.4321    3.0524    1.6958    2.3589    2.0339    0.3561    0.6909    1.5563    1.7173    2.7754    0.6642    2.0764    1.0210    1.9210    1.5031    0.5657    1.4576    2.1870    2.4944    1.9215    2.0820    2.6002    2.1697    2.7187    3.1142    2.8245    2.2150
     70000    1.3814    2.9476    1.2937    3.1405    0.9547    2.6022    0.7296    2.8102    2.4470    0.0974    2.8414    1.2178    2.7835    0.9070    2.4518    0.7529    2.2260    0.1355    2.9815    1.2881    1.6764    1.5938    2.9387    2.4951    3.1285    1.5396    1.4514    1.6594    0.1835    0.6795    1.0230    0.4991    1.4117    1.5597    0.0041    0.1186    0.8102    0.8176    2.5783    1.2289    2.5815    1.1875    1.4162    1.7694    2.6400    0.3061    3.0238
     80000    1.3515    1.3070    2.7537    0.3290    0.1161    2.6473    2.8024    2.4968    1.4657    0.8286    2.4879    0.1596    2.5442    0.2550    2.9194    1.4630    3.0690    0.2521    2.7653    2.4795    3.0510    2.4078    3.1039    2.4986    3.1155    1.8488    0.2582    1.5134    1.0695    2.7956    0.6357    0.3289    1.3110    2.5835    0.2367    0.2981    2.2855    0.0083    2.6562    1.1027    0.6053    3.0727    0.8901    1.9978    2.7105    1.3158    2.8217
     90000    1.3800    2.8105    2.0071    3.0286    2.2461    2.6719    0.6462    0.4537    2.7248    0.1828    2.5760    0.0803    0.3873    2.8635    2.2172    0.2889    3.0867    0.2126    2.3937    2.4994    1.5118    0.0675    2.6059    0.9692    2.6942    1.0455    2.1229    0.9723    2.2116    1.1772    1.2412    2.6130    1.2439    1.3826    2.6362    0.6644    2.6277    1.4672    0.9607    0.7501    2.1832    2.8816    0.9405    1.5350    2.6866    2.9067    2.0685
    100000    0.7685    3.0407    1.8262    2.9130    2.2987    2.9081    2.0431    3.0805    2.2538    3.0676    0.7029    0.0927    1.2933    2.9726    1.4896    2.6208    2.3843    1.9936    2.9536    2.9646    2.9578    2.8887    2.6816    2.7838    0.8152    0.3992    2.7337    1.1126    1.1138    1.8633    1.6696    1.3145    0.3599    1.6671    0.7831    1.8558    1.1801    0.6924    2.3866    2.9970    2.8354    1.3051    2.2586    2.8702    0.2139    1.6475    0.4105
    110000    1.5858    1.5499    3.0102    3.1272    0.1904    3.0224    3.0591    1.9943    3.0513    0.5120    3.0798    1.2278    3.0093    1.0027    2.1937    0.5206    2.3218    0.0992    1.7375    2.3677    3.1333    1.6701    3.0467    2.1719    3.0463    2.2510    2.5283    1.1014    1.4025    2.6760    0.9237    0.0634    0.0318    2.8170    1.9580    0.1770    2.5846    1.4044    2.3436    2.0901    2.7359    2.7131    2.1540    2.7060    1.6067    1.1340    2.1829
    120000    0.7727    2.5589    2.7709    1.7044    2.9332    1.9289    2.9874    2.6132    1.8861    0.5449    0.1683    0.4371    0.3251    2.8344    1.0200    2.3366    3.0602    0.1839    3.0721    2.0992    2.7196    1.4958    2.1944    1.2681    2.6860    0.0829    2.9807    2.0759    1.9142    2.1282    1.1809    1.5710    2.5637    1.3201    2.0923    1.5220    0.7700    3.1071    0.8740    2.4039    1.1421    1.1779    1.1372    1.3488    2.9977    0.6620    1.4482
    130000    1.2879    1.7954    2.9530    1.4739    2.5132    1.7430    2.9397    1.7026    1.3887    1.4337    2.4530    0.5183    0.3815    3.0447    2.0596    1.3030    3.0663    0.2652    2.4750    2.0766    1.4054    0.7734    2.6103    0.8939    2.8389    0.7892    2.8570    2.1833    2.2862    1.8444    1.0336    3.0480    1.5376    1.1324    2.4028    0.8599    1.7988    1.8341    0.3836    1.2423    2.0381    2.7731    0.7534    1.3462    3.1169    2.3277    0.1435
    140000    1.1317    2.0454    3.0936    1.4203    2.3605    1.6111    3.0953    1.3312    1.1541    2.0532    2.7963    0.1786    0.4102    3.1383    2.0744    1.2962    2.9949    0.3920    2.8960    1.6957    1.1689    0.6537    2.6665    1.0538    2.8637    0.8675    2.9980    2.2635    2.3880    1.8236    1.1416    2.4292    2.2734    1.0864    2.3606    1.0343    1.6935    2.2913    0.1774    1.7284    2.2037    2.6839    0.9918    1.8440    2.9186    0.2358    1.9500
    150000    0.6629    2.7650    2.6973    1.6537    3.1392    2.5826    2.9609    2.9572    3.0289    3.0545    0.9365    0.3221    1.2276    2.7031    1.7282    1.9143    2.9581    1.0386    3.0050    2.7194    2.5316    2.1720    1.9425    1.5035    2.5137    0.0845    3.0742    1.7910    2.0565    2.8441    0.0218    2.0761    2.9466    1.2515    2.3628    1.4279    1.1406    2.8842    1.5511    3.0925    0.2599    1.3529    0.4010    1.9435    2.7760    0.6501    1.3197
    160000    1.5125    2.7429    1.1897    3.0842    1.0660    0.9786    0.5452    2.8114    1.5864    0.6482    1.8454    0.7782    2.8028    0.8662    2.6760    0.6521    2.9055    0.0235    2.7677    2.2573    3.0162    2.3507    2.9540    2.6079    2.9440    1.7428    1.3075    2.8965    1.4886    2.8862    1.4412    1.3101    0.1818    1.7903    0.3078    0.5567    0.9455    1.1121    2.4750    2.7141    2.9588    2.0511    2.3168    2.8441    2.8831    0.5065    3.0431
    170000    1.3575    1.2730    0.0545    1.5321    0.0723    1.8177    0.7767    2.5740    0.1633    1.8266    0.9370    0.5052    1.7028    1.5027    3.1003    1.7102    1.0017    2.5508    0.6152    2.5482    1.3660    2.6010    2.7470    2.6107    2.2257    1.2479    3.1075    2.4945    2.8433    2.7095    2.7504    0.4199    0.8093    2.6379    0.9053    0.9885    1.5870    1.4065    2.3021    3.0878    2.5422    2.0223    2.3945    2.7101    0.0836    2.0875    2.5481
    180000    0.6951    2.8260    2.6772    2.3110    3.0716    1.9334    2.6922    3.0018    3.0734    2.6723    0.9644    0.0971    1.2386    2.7825    1.7704    1.9939    2.8328    1.0526    3.0894    2.5717    2.5970    2.0967    2.1451    0.1917    2.7112    0.2027    2.8126    1.5600    1.8149    3.1280    0.2833    1.9145    2.8973    1.2574    2.5255    1.1486    1.4274    2.4190    1.9328    2.9099    1.7021    2.5944    0.6788    0.1249    2.3842    2.1074    0.6879
    190000    1.3944    0.3307    2.8307    0.3603    1.0185    2.3017    1.3524    2.2308    1.8075    0.1616    1.5579    1.1807    2.1736    2.3224    1.4720    3.0446    0.4998    0.3414    1.4285    1.3454    0.7861    1.4004    2.6719    2.9593    2.2891    1.1329    0.7733    1.5180    2.1848    1.7897    2.3434    1.8447    2.0367    0.6999    0.3794    1.6305    1.7132    0.0305    2.5195    1.5283    1.1406    2.7281    0.6473    0.0491    2.6487    0.4246    1.6862
    200000    1.7597    1.7949    2.0836    1.8024    2.0629    0.2623    2.8678    2.6508    2.1844    1.6329    1.9917    1.6543    2.4519    0.9996    2.9377    0.8670    1.9930    0.2214    2.9096    2.2622    3.1197    2.1711    3.1091    2.4585    2.8689    1.9099    0.1113    1.6876    1.9841    2.4967    0.8973    0.3296    0.8582    2.6064    0.9602    0.4494    1.5853    0.6698    3.1021    1.1161    2.6469    2.9887    1.3599    1.8646    2.6169    2.6104    2.8218
    210000    1.8912    1.3446    1.9652    1.6051    2.4594    0.6562    3.0642    2.3097    2.7058    0.5713    1.8678    1.7756    2.5201    1.1291    1.0246    2.4956    1.5992    0.2320    1.9621    1.8981    2.2408    3.1263    3.1192    2.4678    2.9628    1.6694    0.4003    1.8777    1.6579    2.0383    1.9308    1.5239    1.0262    0.4121    0.5831    0.9340    1.3092    1.2237    2.6210    1.4547    0.6430    2.9486    1.6350    2.2522    2.9903    2.3501    3.1208
    220000    1.0028    1.3159    2.1111    0.8337    0.6491    2.7672    2.9910    2.7866    1.0931    1.1797    0.7659    0.7145    2.7155    1.7724    2.4652    2.4986    2.1294    2.8447    1.5579    1.8973    2.8123    2.4051    2.4347    2.5712    1.6385    1.2823    2.6747    1.8849    2.9285    1.0270    2.0871    0.8681    0.0022    1.0752    1.4584    0.3647    1.9427    1.7104    1.1534    2.1377    2.0095    1.7274    2.2782    2.1747    0.5487    2.0981    2.2284
    230000    2.1375    0.7222    2.8689    0.9244    2.8607    2.7216    3.1009    2.6116    2.8890    1.3318    1.8697    0.5070    3.0452    3.1391    2.0475    1.5344    2.6536    1.2503    0.4743    1.7565    2.5725    0.3191    2.9922    0.6901    0.5236    2.2320    2.5599    2.7520    2.7374    0.4235    3.0098    0.1474    2.6659    2.4011    1.1955    0.4565    3.0882    0.7979    0.1326    2.5498    2.7854    3.1311    2.7367    2.5156    1.7988    2.5867    2.7662
    240000    0.8567    2.1435    0.8043    1.5851    1.6099    2.1726    2.9017    2.7959    1.9685    1.3295    1.0417    0.2184    1.2524    2.6917    1.5153    2.6792    1.9968    2.1318    2.8820    2.5464    2.3514    1.6379    2.1402    2.2327    0.1727    0.2120    2.2489    1.2870    1.4398    0.6312    2.9979    1.2802    1.9300    0.5740    2.7409    0.4146    2.1773    0.4515    2.3913    2.2534    0.9656    1.9879    0.5197    0.3171    1.8687    2.4294    1.2101
    250000    1.2825    1.6712    2.9321    1.1660    3.0628    2.6586    3.0752    2.8689    2.1525    1.8177    0.8650    0.1257    1.3387    3.0967    1.5820    2.5884    2.2104    1.7147    2.6075    2.4000    2.5082    1.9558    2.2946    2.0998    0.2870    0.1347    2.0779    0.4654    2.0499    0.8899    2.8274    1.1970    2.1314    0.7024    2.6899    0.3239    2.1779    0.3909    2.3986    2.0130    0.4901    1.7414    0.7968    1.7656    2.8454    0.7165    1.3142
    260000    2.1352    0.6740    2.8173    0.5186    1.2213    2.7647    2.7642    1.8103    1.8834    2.0820    1.3598    0.8929    2.7246    2.0840    2.3384    1.5870    3.0946    0.9208    1.0694    2.0713    2.1657    0.4280    1.2932    2.4724    1.8551    0.2845    2.2400    2.2984    2.1437    2.5060    2.5575    2.3166    2.2284    2.3814    1.3598    0.2553    2.6567    1.4250    1.8840    2.7868    2.7878    2.5373    2.8038    2.8377    1.5799    2.3667    2.9074
    270000    1.3150    0.9108    1.4916    0.8381    1.4894    2.7319    1.7531    1.3136    0.9364    0.2628    2.4173    0.6882    2.9452    0.2230    1.7156    1.4428    0.8131    1.8051    2.3712    1.7449    0.7550    0.4728    2.9336    2.1631    2.9361    1.2336    1.3521    1.2313    1.6695    2.0970    3.0447    1.3569    0.8248    1.3375    1.0979    0.6780    1.7160    0.2660    2.8473    1.2524    0.7304    2.7193    0.4517    1.4503    2.7158    1.0720    1.0638
    280000    1.9718    0.5591    2.9808    0.3197    3.0267    3.0537    3.0158    1.4043    2.0415    3.0066    1.5336    0.2118    2.4614    2.7792    2.7989    2.4566    1.8737    2.0137    2.1573    1.1363    1.7493    1.2705    1.9466    2.4606    0.0358    0.3977    1.8411    1.8444    2.5260    0.9628    3.0711    0.1690    1.1533    0.1862    1.4200    0.3113    1.7979    1.1102    2.2658    2.0735    1.0282    1.9845    0.4823    0.0903    0.9170    3.0497    1.4630
    290000    1.1515    1.5392    0.1774    0.3111    1.5658    3.0336    1.5772    3.1216    1.4878    0.3701    3.0976    0.9157    2.9319    0.0290    3.1256    0.2158    2.8642    0.8189    2.7488    2.8321    2.9263    2.0095    2.5002    2.6731    2.4465    1.4126    2.7794    2.7209    2.6776    0.2600    2.1117    0.2014    0.8893    0.2316    1.7151    0.8298    0.8173    1.6613    2.3019    2.5377    2.9093    2.7230    2.5245    2.8005    0.7381    2.9220    0.8598
    300000    2.3857    2.2777    1.6985    1.4061    1.9366    1.8702    2.9862    2.4337    2.0447    2.0623    0.7728    0.3100    1.3258    1.3225    2.3018    1.8080    3.1336    0.9325    2.2416    1.3359    2.5565    3.0506    3.1282    2.5122    0.1805    0.1225    2.3849    2.7024    1.7691    2.8767    2.7867    2.3507    2.4324    2.3340    0.8670    0.4108    1.7261    0.1850    1.8023    1.1453    1.5759    2.2740    2.5640    0.0421    2.6924    2.1553    2.8474
    310000    1.2903    1.5499    3.1372    0.7041    3.0377    2.9674    3.1273    3.0067    3.1254    2.7138    0.7781    0.4415    0.3867    2.3989    1.7633    2.0389    2.9856    1.3059    3.0635    2.7393    2.7520    1.9066    2.1691    2.5253    1.5542    0.4856    1.5655    2.3696    2.2663    2.4863    3.0014    0.0603    0.3876    2.7851    1.1122    2.2607    1.3931    0.9606    2.9011    2.8277    1.7706    1.3221    1.8988    2.3347    1.3687    2.3875    0.0748
    320000    0.9806    2.5436    0.1032    3.1056    1.4337    2.3698    1.4126    2.7964    2.1174    1.0863    0.8694    1.3817    0.3851    1.2685    2.2963    2.5216    2.2864    0.8881    3.0284    2.7973    3.0914    2.7076    2.9021    2.6387    2.7591    0.3742    1.3242    3.0465    0.3435    2.8922    2.9328    0.1261    0.4406    1.2820    2.1717    1.9451    0.1178    0.7949    2.2080    2.5255    2.4908    0.9748    2.0551    0.4180    1.4928    2.5177    0.7508
    330000    1.4083    1.4834    1.8018    1.6061    2.7104    2.8623    2.3774    2.5709    0.4529    0.9165    0.9700    0.0120    1.6541    1.6967    0.4063    2.0800    2.1901    0.9338    2.8523    1.6512    1.7999    1.2133    3.0054    0.0176    1.4717    0.1018    1.5578    1.3403    3.0784    0.7898    2.8850    0.6378    2.0098    0.9163    2.9228    1.2833    1.4409    0.7973    2.2834    2.6217    0.0985    1.7575    0.3097    1.3593    2.8930    0.9332    0.4496
    340000    1.2735    1.7108    1.8075    2.0566    2.6822    1.8522    2.9435    2.0596    1.5355    0.1209    1.1779    0.5306    1.4502    1.6906    1.0038    2.2606    3.1307    0.2953    2.5537    1.2730    1.7354    0.4903    2.9950    0.8486    2.2030    0.3843    1.6686    1.5419    3.1223    2.0305    2.6984    0.8423    2.2668    1.1194    2.4563    1.5722    1.1781    2.6746    1.8391    2.4274    0.7677    2.2078    2.4907    1.2635    3.0932    0.2756    2.8716
    350000    1.7582    0.9031    3.0172    0.6716    1.2262    0.4938    0.5373    1.8548    0.8085    2.2277    1.0493    0.1560    1.3823    1.3012    2.2979    3.0772    2.4724    1.4075    1.9122    1.4552    2.3714    2.0471    2.4202    1.8265    1.7341    0.0683    2.1567    2.5284    1.7743    3.0272    3.0130    2.1767    2.9962    1.6385    1.4159    0.0407    2.1008    0.3933    2.1313    1.5069    2.2682    2.0754    1.7357    1.6844    1.5180    2.6161    1.9418
    360000    2.2618    0.8182    2.7043    0.1452    3.1385    3.1177    1.2606    0.4243    1.2334    0.6975    2.4903    0.5062    2.1182    0.7552    2.7581    1.6273    2.7432    2.2510    0.9189    1.0958    1.3753    1.8019    1.9174    2.6625    0.9250    2.8808    1.9064    2.5344    1.0194    2.2285    2.8922    2.6818    2.5426    1.6483    0.2243    0.9697    1.7319    2.1445    2.7071    2.2460    1.6064    2.2305    0.8485    2.8861    2.5912    1.8870    2.9258
    370000    0.8528    2.7139    2.3021    2.7122    2.7085    2.3787    2.0527    2.7398    2.9272    1.6334    0.8202    0.3742    1.5652    2.9535    2.0125    3.0629    2.9400    0.6450    2.4751    1.9044    2.4164    2.7675    2.2411    1.7754    2.7558    0.0799    2.0056    2.8966    2.3234    2.2239    2.4162    1.6428    2.2981    0.9955    3.0619    1.9810    2.4236    0.5567    2.9648    0.0238    1.5783    1.3458    2.3878    2.8616    2.7477    2.6941    0.4406
    380000    1.9050    0.7636    3.1054    0.6555    3.1178    3.1215    1.8928    2.3467    2.0242    2.7682    1.4816    0.2785    2.8008    2.5217    3.0158    2.8852    1.8171    0.7298    2.8327    2.9909    1.2739    0.0299    2.3342    0.0170    0.6894    0.0420    1.5760    1.8890    2.7377    1.0646    2.9570    0.1616    0.5878    0.4818    1.3216    0.6058    1.7481    2.2891    3.0355    2.2032    1.3932    2.8218    1.2478    0.8321    2.5549    2.5696    2.0968
    390000    2.0739    1.1905    2.6299    0.1362    3.0543    0.0143    1.1513    3.0405    1.8282    0.6712    2.2681    0.8931    2.3907    2.2722    1.3272    1.6314    1.6798    0.2477    1.8731    2.5607    2.7514    1.4665    3.0953    1.7963    2.9949    1.0477    3.0278    1.7998    0.7243    2.2148    3.0055    2.6145    1.8379    0.5070    0.2917    0.7379    1.3208    1.0412    2.8101    0.3744    0.7888    2.3218    1.9975    0.4632    3.0129    2.0993    2.7485
    400000    1.2900    1.5768    3.0408    0.7431    2.9322    3.0942    2.6276    2.6981    2.9136    1.8824    1.3188    0.1197    2.4584    0.6757    2.8713    0.1767    1.9510    0.7510    1.3636    2.4887    1.6965    2.7888    2.3989    2.9897    1.7985    1.1988    2.1177    1.9442    2.6337    0.8507    2.5850    0.2402    0.6514    0.6772    1.1431    1.5314    0.2302    1.4641    2.8119    2.3122    3.0129    2.8435    3.0152    2.4705    1.4932    3.0821    0.9552
    410000    1.7876    1.7643    2.9121    1.6950    2.9862    3.1064    2.0337    2.8311    2.8773    0.7796    1.4627    0.7152    2.9846    0.7575    1.5503    1.2664    0.0070    0.0103    2.9424    2.5266    3.1079    1.6135    2.8500    2.1116    2.8123    1.7884    2.6114    1.1249    1.4590    2.2571    0.6038    1.6717    0.0094    0.1696    0.6811    0.0432    1.0850    1.8367    2.9557    2.0671    2.5875    2.7095    2.4927    2.3019    1.3986    1.3520    2.3909
