 [Rank 2] Step:    180000 | Energy:     33.1433 | Acc:  9.42%
 [Rank 1] Step:    180000 | Energy:     31.2509 | Acc:  9.59%
 [Rank 0] Step:    190000 | Energy:     26.3660 | Acc: 10.38%
 [Rank 2] Step:    190000 | Energy:     32.0312 | Acc:  9.31%
 [Rank 1] Step:    190000 | Energy:     28.0133 | Acc:  9.49%
 [Rank 0] Step:    200000 | Energy:     26.8016 | Acc: 10.21%
 [Rank 2] Step:    200000 | Energy:     27.1045 | Acc:  9.11%
 [Rank 1] Step:    200000 | Energy:     27.3646 | Acc:  9.39%
 [Rank 0] Step:    210000 | Energy:     25.4656 | Acc: 10.02%
 [Rank 2] Step:    210000 | Energy:     27.3237 | Acc:  8.94%
 [Rank 1] Step:    210000 | Energy:     26.8549 | Acc:  9.29%
 [Rank 0] Step:    220000 | Energy:     22.7084 | Acc:  9.89%
 [Rank 2] Step:    220000 | Energy:     27.8561 | Acc:  8.81%
 [Rank 1] Step:    220000 | Energy:     23.5635 | Acc:  9.21%
 [Rank 0] Step:    230000 | Energy:     34.9200 | Acc:  9.75%
 [Rank 2] Step:    230000 | Energy:     30.2956 | Acc:  8.73%
 [Rank 1] Step:    230000 | Energy:     26.6271 | Acc:  9.11%
 [Rank 0] Step:    240000 | Energy:     27.1459 | Acc:  9.63%
 [Rank 2] Step:    240000 | Energy:     25.7977 | Acc:  8.64%
 [Rank 1] Step:    240000 | Energy:     29.3068 | Acc:  9.06%
 [Rank 0] Step:    250000 | Energy:     19.2377 | Acc:  9.51%
 [Rank 2] Step:    250000 | Energy:     28.6362 | Acc:  8.58%
 [Rank 1] Step:    250000 | Energy:     32.1662 | Acc:  8.99%
 [Rank 0] Step:    260000 | Energy:     21.8403 | Acc:  9.41%
 [Rank 2] Step:    260000 | Energy:     26.5039 | Acc:  8.52%
 [Rank 1] Step:    260000 | Energy:     29.8101 | Acc:  8.97%
 [Rank 0] Step:    270000 | Energy:     24.3126 | Acc:  9.34%
 [Rank 2] Step:    270000 | Energy:     24.4027 | Acc:  8.46%
 [Rank 1] Step:    270000 | Energy:     28.7391 | Acc:  8.89%
 [Rank 0] Step:    280000 | Energy:     19.6189 | Acc:  9.21%
 [Rank 2] Step:    280000 | Energy:     33.3737 | Acc:  8.43%
 [Rank 1] Step:    280000 | Energy:     29.2476 | Acc:  8.83%
 [Rank 0] Step:    290000 | Energy:     21.5603 | Acc:  9.10%
 [Rank 2] Step:    290000 | Energy:     34.1023 | Acc:  8.39%
 [Rank 1] Step:    290000 | Energy:     28.3865 | Acc:  8.79%
 [Rank 0] Step:    300000 | Energy:     26.0049 | Acc:  8.98%
 [Rank 2] Step:    300000 | Energy:     29.7109 | Acc:  8.39%
 [Rank 1] Step:    300000 | Energy:     29.0058 | Acc:  8.75%
 [Rank 0] Step:    310000 | Energy:     21.8810 | Acc:  8.84%
 [Rank 2] Step:    310000 | Energy:     32.4639 | Acc:  8.41%
 [Rank 1] Step:    310000 | Energy:     33.8449 | Acc:  8.73%
 [Rank 0] Step:    320000 | Energy:     27.9030 | Acc:  8.76%
 [Rank 2] Step:    320000 | Energy:     31.8669 | Acc:  8.42%
 [Rank 1] Step:    320000 | Energy:     33.8855 | Acc:  8.68%
 [Rank 0] Step:    330000 | Energy:     28.8867 | Acc:  8.67%
 [Rank 2] Step:    330000 | Energy:     22.3817 | Acc:  8.47%
 [Rank 1] Step:    330000 | Energy:     30.5992 | Acc:  8.61%
 [Rank 0] Step:    340000 | Energy:     30.6099 | Acc:  8.61%
 [Rank 2] Step:    340000 | Energy:     20.2767 | Acc:  8.44%
 [Rank 1] Step:    340000 | Energy:     31.2981 | Acc:  8.54%
 [Rank 0] Step:    350000 | Energy:     30.0509 | Acc:  8.57%
 [Rank 2] Step:    350000 | Energy:     26.4142 | Acc:  8.39%
 [Rank 1] Step:    350000 | Energy:     30.8167 | Acc:  8.49%
 [Rank 2] Step:    360000 | Energy:     22.1466 | Acc:  8.35%
 [Rank 0] Step:    360000 | Energy:     25.6369 | Acc:  8.50%
 [Rank 1] Step:    360000 | Energy:     26.0732 | Acc:  8.45%
 [Rank 2] Step:    370000 | Energy:     21.0495 | Acc:  8.32%
 [Rank 0] Step:    370000 | Energy:     23.4657 | Acc:  8.43%
 [Rank 1] Step:    370000 | Energy:     25.1823 | Acc:  8.39%
 [Rank 2] Step:    380000 | Energy:     27.8926 | Acc:  8.25%
 [Rank 0] Step:    380000 | Energy:     28.2405 | Acc:  8.37%
 [Rank 1] Step:    380000 | Energy:     26.6150 | Acc:  8.34%
 [Rank 2] Step:    390000 | Energy:     23.2892 | Acc:  8.29%
 [Rank 0] Step:    390000 | Energy:     20.9350 | Acc:  8.31%
 [Rank 1] Step:    390000 | Energy:     21.7283 | Acc:  8.30%
 [Rank 2] Step:    400000 | Energy:     21.5783 | Acc:  8.27%
 [Rank 0] Step:    400000 | Energy:     15.7875 | Acc:  8.23%
 [Rank 1] Step:    400000 | Energy:     19.2032 | Acc:  8.26%
 [Rank 2] Step:    410000 | Energy:     24.9381 | Acc:  8.24%
 [Rank 0] Step:    410000 | Energy:     18.8241 | Acc:  8.16%
 [Rank 1] Step:    410000 | Energy:     23.5034 | Acc:  8.21%
 [Rank 2] Step:    420000 | Energy:     27.5900 | Acc:  8.21%
 [Rank 0] Step:    420000 | Energy:     18.2862 | Acc:  8.09%
 [Rank 1] Step:    420000 | Energy:     17.4002 | Acc:  8.17%
 [Rank 2] Step:    430000 | Energy:     23.9901 | Acc:  8.17%
 [Rank 0] Step:    430000 | Energy:     23.5303 | Acc:  8.01%
 [Rank 1] Step:    430000 | Energy:     14.8749 | Acc:  8.11%
 [Rank 2] Step:    440000 | Energy:     24.5662 | Acc:  8.13%
 [Rank 0] Step:    440000 | Energy:     26.0013 | Acc:  7.95%
 [Rank 1] Step:    440000 | Energy:     18.3140 | Acc:  8.06%
 [Rank 2] Step:    450000 | Energy:     22.5723 | Acc:  8.08%
 [Rank 0] Step:    450000 | Energy:     30.5579 | Acc:  7.90%
 [Rank 1] Step:    450000 | Energy:     12.1538 | Acc:  7.99%
 [Rank 2] Step:    460000 | Energy:     26.0749 | Acc:  8.03%
 [Rank 0] Step:    460000 | Energy:     31.4092 | Acc:  7.87%
 [Rank 1] Step:    460000 | Energy:     17.5982 | Acc:  7.96%
 [Rank 2] Step:    470000 | Energy:     27.9376 | Acc:  8.02%
 [Rank 0] Step:    470000 | Energy:     29.5453 | Acc:  7.85%
 [Rank 1] Step:    470000 | Energy:     20.3980 | Acc:  7.91%
 [Rank 2] Step:    480000 | Energy:     23.9827 | Acc:  8.01%
 [Rank 0] Step:    480000 | Energy:     27.5386 | Acc:  7.85%
 [Rank 1] Step:    480000 | Energy:     19.9310 | Acc:  7.87%
 [Rank 2] Step:    490000 | Energy:     25.6229 | Acc:  7.99%
 [Rank 0] Step:    490000 | Energy:     30.4985 | Acc:  7.85%
 [Rank 1] Step:    490000 | Energy:     24.3831 | Acc:  7.83%
 [Rank 2] Step:    500000 | Energy:     31.0533 | Acc:  7.97%
 [Rank 0] Step:    500000 | Energy:     25.4966 | Acc:  7.83%
 [Rank 1] Step:    500000 | Energy:     17.8169 | Acc:  7.80%
 [Rank 2] Step:    510000 | Energy:     22.6117 | Acc:  7.93%
 [Rank 0] Step:    510000 | Energy:     28.8384 | Acc:  7.81%
 [Rank 1] Step:    510000 | Energy:     18.8693 | Acc:  7.77%
 [Rank 2] Step:    520000 | Energy:     29.6227 | Acc:  7.91%
 [Rank 0] Step:    520000 | Energy:     26.6497 | Acc:  7.77%
 [Rank 1] Step:    520000 | Energy:     22.4901 | Acc:  7.74%
 [Rank 2] Step:    530000 | Energy:     27.9451 | Acc:  7.89%
 [Rank 0] Step:    530000 | Energy:     26.2803 | Acc:  7.73%
 [Rank 1] Step:    530000 | Energy:     20.6092 | Acc:  7.72%
 [Rank 2] Step:    540000 | Energy:     29.5189 | Acc:  7.88%
 [Rank 0] Step:    540000 | Energy:     26.5170 | Acc:  7.70%
 [Rank 1] Step:    540000 | Energy:     21.6039 | Acc:  7.69%
 [Rank 2] Step:    550000 | Energy:     33.8344 | Acc:  7.87%
 [Rank 0] Step:    550000 | Energy:     33.5281 | Acc:  7.66%
 [Rank 1] Step:    550000 | Energy:     22.2119 | Acc:  7.67%
 [Rank 2] Step:    560000 | Energy:     24.0322 | Acc:  7.86%
 [Rank 0] Step:    560000 | Energy:     25.5294 | Acc:  7.64%
 [Rank 1] Step:    560000 | Energy:     22.2754 | Acc:  7.66%
 [Rank 2] Step:    570000 | Energy:     20.1909 | Acc:  7.84%
 [Rank 0] Step:    570000 | Energy:     25.4728 | Acc:  7.61%
 [Rank 1] Step:    570000 | Energy:     24.0236 | Acc:  7.64%
 [Rank 2] Step:    580000 | Energy:     18.7621 | Acc:  7.83%
 [Rank 0] Step:    580000 | Energy:     27.4585 | Acc:  7.59%
 [Rank 1] Step:    580000 | Energy:     23.5252 | Acc:  7.62%
 [Rank 2] Step:    590000 | Energy:     18.9602 | Acc:  7.82%
 [Rank 0] Step:    590000 | Energy:     29.1180 | Acc:  7.59%
 [Rank 2] Step:    600000 | Energy:     19.9901 | Acc:  7.81%
 [Rank 1] Step:    590000 | Energy:     23.2639 | Acc:  7.60%
 [Rank 0] Step:    600000 | Energy:     33.8877 | Acc:  7.60%
 [Rank 2] Step:    610000 | Energy:     19.7782 | Acc:  7.79%
 [Rank 1] Step:    600000 | Energy:     23.8455 | Acc:  7.58%
 [Rank 0] Step:    610000 | Energy:     29.6221 | Acc:  7.60%
 [Rank 2] Step:    620000 | Energy:     18.2430 | Acc:  7.78%
 [Rank 1] Step:    610000 | Energy:     18.3766 | Acc:  7.57%
 [Rank 0] Step:    620000 | Energy:     44.5549 | Acc:  7.59%
 [Rank 2] Step:    630000 | Energy:     15.2816 | Acc:  7.75%
 [Rank 1] Step:    620000 | Energy:     26.3207 | Acc:  7.55%
 [Rank 0] Step:    630000 | Energy:     41.5415 | Acc:  7.59%
 [Rank 2] Step:    640000 | Energy:     19.6199 | Acc:  7.74%
 [Rank 1] Step:    630000 | Energy:     21.0047 | Acc:  7.53%
 [Rank 0] Step:    640000 | Energy:     36.2406 | Acc:  7.59%
 [Rank 2] Step:    650000 | Energy:     29.4945 | Acc:  7.73%
 [Rank 1] Step:    640000 | Energy:     21.6102 | Acc:  7.50%
 [Rank 0] Step:    650000 | Energy:     35.6467 | Acc:  7.58%
 [Rank 2] Step:    660000 | Energy:     24.0342 | Acc:  7.72%
 [Rank 1] Step:    650000 | Energy:     25.4045 | Acc:  7.48%
 [Rank 0] Step:    660000 | Energy:     32.8535 | Acc:  7.55%
 [Rank 2] Step:    670000 | Energy:     20.6829 | Acc:  7.70%
 [Rank 1] Step:    660000 | Energy:     27.9184 | Acc:  7.47%
 [Rank 0] Step:    670000 | Energy:     25.6061 | Acc:  7.52%
 [Rank 2] Step:    680000 | Energy:     18.3228 | Acc:  7.70%
 [Rank 1] Step:    670000 | Energy:     25.9531 | Acc:  7.46%
 [Rank 0] Step:    680000 | Energy:     27.9495 | Acc:  7.50%
 [Rank 2] Step:    690000 | Energy:     20.2655 | Acc:  7.70%
 [Rank 1] Step:    680000 | Energy:     25.5704 | Acc:  7.45%
 [Rank 0] Step:    690000 | Energy:     24.9850 | Acc:  7.47%
 [Rank 2] Step:    700000 | Energy:     24.5890 | Acc:  7.70%
 [Rank 1] Step:    690000 | Energy:     26.4837 | Acc:  7.44%
 [Rank 0] Step:    700000 | Energy:     28.5999 | Acc:  7.45%
 [Rank 2] Step:    710000 | Energy:     20.5239 | Acc:  7.69%
 [Rank 1] Step:    700000 | Energy:     22.8921 | Acc:  7.42%
 [Rank 0] Step:    710000 | Energy:     22.3302 | Acc:  7.42%
 [Rank 2] Step:    720000 | Energy:     21.0223 | Acc:  7.69%
 [Rank 1] Step:    710000 | Energy:     22.9256 | Acc:  7.40%
 [Rank 2] Step:    730000 | Energy:     20.7912 | Acc:  7.69%
 [Rank 0] Step:    720000 | Energy:     26.6092 | Acc:  7.39%
 [Rank 1] Step:    720000 | Energy:     24.8499 | Acc:  7.38%
 [Rank 2] Step:    740000 | Energy:     29.8393 | Acc:  7.70%
 [Rank 0] Step:    730000 | Energy:     25.9792 | Acc:  7.36%
 [Rank 1] Step:    730000 | Energy:     26.0325 | Acc:  7.36%
 [Rank 2] Step:    750000 | Energy:     20.6272 | Acc:  7.70%
 [Rank 0] Step:    740000 | Energy:     28.3419 | Acc:  7.36%
 [Rank 1] Step:    740000 | Energy:     23.3408 | Acc:  7.32%
 [Rank 2] Step:    760000 | Energy:     27.2223 | Acc:  7.70%
 [Rank 0] Step:    750000 | Energy:     29.4413 | Acc:  7.35%
 [Rank 1] Step:    750000 | Energy:     25.3643 | Acc:  7.29%
 [Rank 2] Step:    770000 | Energy:     25.7328 | Acc:  7.69%
 [Rank 0] Step:    760000 | Energy:     28.5478 | Acc:  7.33%
